diag_idx,target_space,n_pairs,mean_error_smoothed_oe,smoothed_correction
256,smoothed_oe,201300,0.03159446269273758,0.03119807317852974
257,smoothed_oe,200475,0.029319467023015022,0.030789364129304886
258,smoothed_oe,199650,0.028545483946800232,0.030685653910040855
259,smoothed_oe,198825,0.03019787184894085,0.03099994733929634
260,smoothed_oe,198000,0.03196590021252632,0.03163401037454605
261,smoothed_oe,197175,0.03310209885239601,0.03238658979535103
262,smoothed_oe,196350,0.03348681703209877,0.033105090260505676
263,smoothed_oe,195525,0.033045489341020584,0.03372545167803764
264,smoothed_oe,194700,0.034323323518037796,0.03419334068894386
265,smoothed_oe,193875,0.0361468605697155,0.034406065940856934
266,smoothed_oe,193050,0.03571302071213722,0.034280139952898026
267,smoothed_oe,192225,0.03401939943432808,0.03387514874339104
268,smoothed_oe,191400,0.032481562346220016,0.03341858088970184
269,smoothed_oe,190575,0.03148728981614113,0.03318566083908081
270,smoothed_oe,189750,0.03232736885547638,0.033345580101013184
271,smoothed_oe,188925,0.03372763469815254,0.033905886113643646
272,smoothed_oe,188100,0.03459126874804497,0.034766100347042084
273,smoothed_oe,187275,0.03519922122359276,0.03577953949570656
274,smoothed_oe,186450,0.03681499883532524,0.0367530882358551
275,smoothed_oe,185625,0.03927018120884895,0.03744414076209068
276,smoothed_oe,184800,0.03992794081568718,0.03765503317117691
277,smoothed_oe,183975,0.038537364453077316,0.037397436797618866
278,smoothed_oe,183150,0.03597494214773178,0.03696250542998314
279,smoothed_oe,182325,0.034140441566705704,0.03677621856331825
280,smoothed_oe,181500,0.034661486744880676,0.03711940720677376
281,smoothed_oe,180675,0.037928298115730286,0.037946462631225586
282,smoothed_oe,179850,0.0410018116235733,0.038969241082668304
283,smoothed_oe,179025,0.04074655473232269,0.039914753288030624
284,smoothed_oe,178200,0.03977201133966446,0.040689025074243546
285,smoothed_oe,177375,0.04094919562339783,0.041314247995615005
286,smoothed_oe,176550,0.04305533319711685,0.04179061949253082
287,smoothed_oe,175725,0.04325098544359207,0.042086873203516006
288,smoothed_oe,174900,0.04210812598466873,0.042237598448991776
289,smoothed_oe,174075,0.041248831897974014,0.042370252311229706
290,smoothed_oe,173250,0.04193459451198578,0.042601458728313446
291,smoothed_oe,172425,0.04316126927733421,0.042926061898469925
292,smoothed_oe,171600,0.04402673989534378,0.04322221130132675
293,smoothed_oe,170775,0.04398127272725105,0.04335660859942436
294,smoothed_oe,169950,0.04384824261069298,0.04329196736216545
295,smoothed_oe,169125,0.043319910764694214,0.043130192905664444
296,smoothed_oe,168300,0.04175884276628494,0.04307767003774643
297,smoothed_oe,167475,0.04195716604590416,0.0433463416993618
298,smoothed_oe,166650,0.04292925447225571,0.044033873826265335
299,smoothed_oe,165825,0.044466063380241394,0.045054253190755844
300,smoothed_oe,165000,0.04696934297680855,0.04617851600050926
301,smoothed_oe,164175,0.04899730160832405,0.04718339815735817
302,smoothed_oe,163350,0.04842579737305641,0.04800965636968613
303,smoothed_oe,162525,0.04743458330631256,0.0487750843167305
304,smoothed_oe,161700,0.04790765792131424,0.04958975687623024
305,smoothed_oe,160875,0.051181551069021225,0.05034501105546951
306,smoothed_oe,160050,0.054099567234516144,0.050728775560855865
307,smoothed_oe,159225,0.05324589088559151,0.05049470439553261
308,smoothed_oe,158400,0.04953201860189438,0.04971229285001755
309,smoothed_oe,157575,0.04669971764087677,0.048732370138168335
310,smoothed_oe,156750,0.04676363617181778,0.04792632535099983
311,smoothed_oe,155925,0.04750172048807144,0.047488562762737274
312,smoothed_oe,155100,0.04692878574132919,0.04745311662554741
313,smoothed_oe,154275,0.046282701194286346,0.04779824987053871
